transaction_id,user_id,amount,payment_method,transaction_status,failure_reason,timestamps
6389,1363,885.21,,Success,Timeout,1/21/2024 1:00
3572,1692,5309.41,Card,,Timeout,1/8/2024 19:23
3602,1685,239.13,,Success,Invalid PIN,2/12/2024 12:49
1733,1095,81.12,CARD,Success,Bank Server Down,1/7/2024 7:51
11930,1495,265.36,NetBanking,Failed,Invalid PIN,2/4/2024 14:14
11562,1442,374.02,upi,Success,,2/10/2024 17:52
14384,1912,203.2,upi,Success,Insufficient Balance,2/22/2024 8:00
9649,1642,986.71,UPI,Success,Timeout,1/11/2024 12:46
12334,1732,108.46,Card,Success,,1/9/2024 5:05
889,1637,566.59,Card,Success,,2/16/2024 18:05
4830,1523,125.22,Wallet,Success,Invalid PIN,2/21/2024 14:46
6434,1531,168.12,CARD,Success,,2/7/2024 8:28
9905,1445,1979.56,,Success,Timeout,1/24/2024 6:58
548,1142,5560.6,upi,Success,Bank Server Down,2/15/2024 9:35
3810,1970,4303.23,NetBanking,Success,Bank Server Down,1/23/2024 19:32
12886,1476,3538.88,NetBanking,Success,Timeout,2/22/2024 18:54
14178,1532,1538.07,upi,Success,,2/10/2024 2:15
9541,1198,457.32,UPI,FAILED,Insufficient Balance,2/29/2024 15:11
7115,1001,312.35,NetBanking,Failed,Invalid PIN,2/5/2024 7:08
9687,1333,68.89,upi,Success,,2/16/2024 14:41
3948,1141,486.61,NetBanking,FAILED,Timeout,2/26/2024 13:08
4175,1394,3489.49,Wallet,Success,,1/5/2024 5:09
11650,1378,1023.71,Card,Success,Insufficient Balance,1/21/2024 3:28
810,1890,4082.92,upi,Success,,1/3/2024 21:12
12246,1378,778.67,NetBanking,Success,,1/8/2024 20:12
1564,1603,1080.77,upi,Success,,2/20/2024 23:15
3824,1558,1082.59,upi,Success,,1/1/2024 2:28
4282,1701,257.65,NetBanking,Success,Invalid PIN,1/26/2024 2:06
14327,1079,903.86,,Success,Timeout,1/14/2024 17:45
7125,1732,1254.71,,Failed,Timeout,2/21/2024 17:45
761,1095,111.79,Wallet,Failed,Timeout,1/6/2024 6:06
2369,1883,38.66,,Success,Insufficient Balance,2/1/2024 13:32
3954,1580,235.14,CARD,Success,Bank Server Down,2/15/2024 15:33
2961,1788,275.71,Wallet,Failed,Insufficient Balance,1/23/2024 11:06
7045,1829,1411.38,UPI,success,Invalid PIN,2/13/2024 19:49
