"TRANSACTION_ID","USER_ID","AMOUNT","PAYMENT_METHOD","TRANSACTION_STATUS","FAILURE_REASON","TXN_TIMESTAMP"
8,1020,278.4,"CARD","FAILED","Timeout",09-FEB-24 05.44.00.000000000 AM
12,1214,2011.13,"UNKNOWN","UNKNOWN","Timeout",23-JAN-24 05.27.00.000000000 AM
17,1099,929.64,"UNKNOWN","SUCCESS","",13-FEB-24 11.55.00.000000000 AM
24,1343,1232.83,"CARD","FAILED","Invalid PIN",20-FEB-24 04.19.00.000000000 AM
34,1313,491.65,"UPI","FAILED","Reason unknown",20-JAN-24 01.23.00.000000000 AM
36,1252,85.41,"NETBANKING","SUCCESS","",27-FEB-24 05.19.00.000000000 AM
37,1747,234.24,"UNKNOWN","SUCCESS","",09-FEB-24 05.17.00.000000000 AM
40,1474,1531.54,"CARD","FAILED","Invalid PIN",25-FEB-24 09.54.00.000000000 PM
45,1699,1255.64,"CARD","SUCCESS","",16-FEB-24 11.05.00.000000000 AM
49,1957,1844.12,"UPI","SUCCESS","",16-FEB-24 02.07.00.000000000 PM
51,1957,2463.69,"NETBANKING","SUCCESS","",10-FEB-24 04.25.00.000000000 AM
53,1875,4813.17,"NETBANKING","SUCCESS","",24-JAN-24 04.25.00.000000000 AM
54,1566,729.6,"UPI","SUCCESS","",13-JAN-24 07.28.00.000000000 PM
55,1243,626.84,"CARD","SUCCESS","",09-JAN-24 04.11.00.000000000 PM
57,1504,1244.71,"UPI","FAILED","Bank Server Down",22-FEB-24 09.44.00.000000000 AM
60,1818,1300.66,"WALLET","SUCCESS","",10-FEB-24 09.18.00.000000000 PM
63,1840,214.89,"UPI","SUCCESS","",25-JAN-24 12.00.00.000000000 AM
67,1600,882.52,"UNKNOWN","SUCCESS","",08-FEB-24 11.59.00.000000000 AM
69,1013,20.74,"NETBANKING","SUCCESS","",08-JAN-24 07.25.00.000000000 AM
78,1955,4881.07,"UNKNOWN","FAILED","Bank Server Down",10-FEB-24 05.04.00.000000000 PM
81,1508,21.96,"UNKNOWN","FAILED","Bank Server Down",14-JAN-24 11.29.00.000000000 AM
82,1775,126.62,"CARD","SUCCESS","",21-FEB-24 11.23.00.000000000 PM
88,1561,2326.26,"NETBANKING","SUCCESS","",23-JAN-24 08.05.00.000000000 PM
92,1389,952.26,"UNKNOWN","SUCCESS","",02-FEB-24 12.34.00.000000000 PM
93,1565,2927.02,"UNKNOWN","SUCCESS","",08-JAN-24 07.07.00.000000000 PM
99,1401,2077.04,"CARD","FAILED","Invalid PIN",12-FEB-24 12.44.00.000000000 AM
100,1729,862.64,"UNKNOWN","FAILED","Insufficient Balance",16-FEB-24 02.56.00.000000000 PM
108,1815,2870.18,"CARD","SUCCESS","",28-JAN-24 08.06.00.000000000 PM
